filename,kps
00058_image_000027.png,"[[38, 85, 2], [70, 92, 2], [50, 69, 2], [57, 66, 2], [80, 79, 2], [73, 107, 2], [78, 30, 2], [79, 48, 2], [70, 29, 2], [57, 23, 2], [81, 20, 2], [69, 18, 2], [67, 22, 2], [78, 11, 2]]"
00058_image_000041.png,"[[55, 105, 2], [41, 78, 2], [62, 62, 2], [72, 63, 2], [58, 92, 2], [86, 83, 2], [42, 17, 2], [37, 15, 2], [58, 17, 2], [57, 19, 2], [46, 45, 2], [40, 25, 2], [50, 17, 2], [41, 8, 2]]"
00058_image_000038.png,"[[77, 88, 2], [51, 83, 2], [66, 59, 2], [68, 60, 2], [52, 87, 2], [54, 120, 2], [41, 17, 2], [40, 29, 2], [61, 16, 2], [49, 20, 2], [37, 31, 2], [40, 19, 2], [51, 14, 2], [42, 4, 2]]"
00058_image_000023.png,"[[40, 110, 2], [63, 93, 2], [49, 66, 2], [53, 63, 2], [70, 92, 2], [79, 120, 2], [68, 35, 2], [59, 45, 2], [48, 21, 2], [61, 22, 2], [76, 33, 2], [65, 18, 2], [57, 19, 2], [63, 7, 2]]"
00058_image_000015.png,"[[65, 89, 2], [44, 99, 2], [44, 71, 2], [71, 67, 2], [88, 90, 2], [55, 88, 2], [48, 52, 2], [35, 45, 2], [44, 25, 2], [73, 23, 2], [83, 41, 2], [71, 52, 2], [58, 22, 2], [57, 4, 2]]"
00058_image_000045.png,"[[45, 113, 2], [44, 83, 2], [63, 58, 2], [70, 62, 2], [56, 90, 2], [75, 112, 2], [42, 14, 2], [35, 20, 2], [57, 19, 2], [53, 21, 2], [44, 45, 2], [39, 28, 2], [49, 19, 2], [39, 10, 2]]"
00058_image_000003.png,"[[46, 129, 2], [50, 100, 2], [49, 71, 2], [73, 69, 2], [87, 93, 2], [63, 112, 2], [34, 60, 2], [37, 43, 2], [44, 25, 2], [73, 22, 2], [86, 39, 2], [86, 58, 2], [58, 21, 2], [56, 4, 2]]"
00058_image_000016.png,"[[67, 127, 2], [61, 95, 2], [51, 65, 2], [52, 66, 2], [63, 93, 2], [68, 125, 2], [50, 66, 2], [51, 46, 2], [57, 22, 2], [56, 21, 2], [80, 22, 2], [65, 13, 2], [62, 19, 2], [71, 8, 2]]"
00058_image_000014.png,"[[69, 87, 2], [46, 99, 2], [50, 71, 2], [74, 68, 2], [88, 90, 2], [60, 88, 2], [34, 61, 2], [37, 43, 2], [44, 25, 2], [73, 22, 2], [82, 42, 2], [87, 59, 2], [58, 22, 2], [56, 4, 2]]"
00058_image_000007.png,"[[49, 130, 2], [50, 102, 2], [49, 71, 2], [72, 70, 2], [76, 101, 2], [78, 127, 2], [49, 55, 2], [37, 46, 2], [44, 25, 2], [75, 23, 2], [84, 43, 2], [74, 52, 2], [58, 22, 2], [56, 4, 2]]"
00058_image_000037.png,"[[72, 100, 2], [46, 83, 2], [61, 60, 2], [69, 62, 2], [54, 89, 2], [83, 83, 2], [42, 22, 2], [41, 10, 2], [59, 16, 2], [48, 23, 2], [34, 37, 2], [41, 22, 2], [50, 15, 2], [38, 7, 2]]"
00058_image_000033.png,"[[48, 118, 2], [51, 85, 2], [63, 55, 2], [65, 56, 2], [56, 88, 2], [80, 105, 2], [50, 8, 2], [37, 13, 2], [61, 14, 2], [57, 19, 2], [65, 40, 2], [70, 58, 2], [54, 15, 2], [43, 7, 2]]"
00058_image_000019.png,"[[36, 109, 2], [59, 95, 2], [47, 63, 2], [50, 61, 2], [66, 92, 2], [72, 123, 2], [82, 38, 2], [68, 46, 2], [62, 25, 2], [56, 21, 2], [80, 22, 2], [65, 13, 2], [62, 19, 2], [72, 8, 2]]"
00058_image_000034.png,"[[67, 122, 2], [58, 88, 2], [70, 61, 2], [68, 62, 2], [64, 94, 2], [68, 125, 2], [42, 25, 2], [43, 38, 2], [58, 17, 2], [50, 24, 2], [37, 41, 2], [42, 25, 2], [48, 18, 2], [36, 12, 2]]"
